Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
alabat quezon,2018,82.55342465753425,WX_rh_avg,history,ETS,,,,
alabat quezon,2019,79.57260273972602,WX_rh_avg,history,ETS,,,,
alabat quezon,2020,83.46448087431693,WX_rh_avg,history,ETS,,,,
alabat quezon,2021,84.72602739726027,WX_rh_avg,history,ETS,,,,
alabat quezon,2022,85.56712328767124,WX_rh_avg,history,ETS,,,,
alabat quezon,2023,84.25753424657535,WX_rh_avg,history,ETS,,,,
alabat quezon,2024,86.17346925517165,WX_rh_avg,forecast,ETS,86.1387642039055,86.20817430643781,86.12032714542035,86.22661136492296
alabat quezon,2025,87.00237584398053,WX_rh_avg,forecast,ETS,86.96767079271437,87.03708089524669,86.94923373422922,87.05551795373184
alabat quezon,2026,87.83925572362833,WX_rh_avg,forecast,ETS,87.80455067236217,87.87396077489448,87.78611361387702,87.89239783337963
alabat quezon,2027,88.68418558956863,WX_rh_avg,forecast,ETS,88.64948053830247,88.71889064083479,88.63104347981732,88.73732769931993
alabat quezon,2028,89.53724287499213,WX_rh_avg,forecast,ETS,89.50253782372597,89.57194792625829,89.48410076524083,89.59038498474344
alabat quezon,2029,90.39850575792296,WX_rh_avg,forecast,ETS,90.3638007066568,90.43321080918912,90.34536364817166,90.45164786767427
ambulong batangas,2018,81.9013698630137,WX_rh_avg,history,ETS,,,,
ambulong batangas,2019,81.13972602739726,WX_rh_avg,history,ETS,,,,
ambulong batangas,2020,82.30681818181819,WX_rh_avg,history,ETS,,,,
ambulong batangas,2021,81.35068493150685,WX_rh_avg,history,ETS,,,,
ambulong batangas,2022,81.22191780821917,WX_rh_avg,history,ETS,,,,
ambulong batangas,2023,79.4904109589041,WX_rh_avg,history,ETS,,,,
ambulong batangas,2024,79.95663196279202,WX_rh_avg,forecast,ETS,79.9287744933838,79.98448943220023,79.91397521276068,79.99928871282336
ambulong batangas,2025,79.59639686191794,WX_rh_avg,forecast,ETS,79.56853939250972,79.62425433132616,79.5537401118866,79.63905361194928
ambulong batangas,2026,79.23778475746975,WX_rh_avg,forecast,ETS,79.20992728806154,79.26564222687797,79.19512800743841,79.2804415075011
ambulong batangas,2027,78.88078833723,WX_rh_avg,forecast,ETS,78.85293086782178,78.90864580663822,78.83813158719866,78.92344508726134
ambulong batangas,2028,78.5254003219255,WX_rh_avg,forecast,ETS,78.49754285251728,78.55325779133372,78.48274357189416,78.56805707195684
ambulong batangas,2029,78.1716134650791,WX_rh_avg,forecast,ETS,78.14375599567089,78.19947093448732,78.12895671504776,78.21427021511045
baler aurora,2018,85.76438356164384,WX_rh_avg,history,ETS,,,,
baler aurora,2019,86.2904109589041,WX_rh_avg,history,ETS,,,,
baler aurora,2020,87.32513661202186,WX_rh_avg,history,ETS,,,,
baler aurora,2021,84.84848484848484,WX_rh_avg,history,ETS,,,,
baler aurora,2022,86.75342465753425,WX_rh_avg,history,ETS,,,,
baler aurora,2023,82.45205479452055,WX_rh_avg,history,ETS,,,,
baler aurora,2024,83.78204566571067,WX_rh_avg,forecast,ETS,83.72292663127642,83.84116470014492,83.69151964423324,83.8725716871881
baler aurora,2025,83.28162977564146,WX_rh_avg,forecast,ETS,83.22251074120722,83.34074881007571,83.19110375416403,83.3721557971189
baler aurora,2026,82.7842027844591,WX_rh_avg,forecast,ETS,82.72508375002485,82.84332181889334,82.69367676298167,82.87472880593653
baler aurora,2027,82.28974683997963,WX_rh_avg,forecast,ETS,82.23062780554538,82.34886587441387,82.1992208185022,82.38027286145706
baler aurora,2028,81.79824419664709,WX_rh_avg,forecast,ETS,81.73912516221284,81.85736323108134,81.70771817516966,81.88877021812452
baler aurora,2029,81.30967721489678,WX_rh_avg,forecast,ETS,81.25055818046253,81.36879624933103,81.21915119341935,81.40020323637421
cabanatuan nueva ecija,2018,77.97808219178083,WX_rh_avg,history,Hold,,,,
cabanatuan nueva ecija,2019,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2020,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2021,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2022,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2023,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2024,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2025,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2026,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2027,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2028,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
cabanatuan nueva ecija,2029,77.9780821917808,WX_rh_avg,forecast,Hold,77.9780821917808,77.9780821917808,77.9780821917808,77.9780821917808
casiguran aurora,2018,87.58082191780822,WX_rh_avg,history,ETS,,,,
casiguran aurora,2019,85.79452054794521,WX_rh_avg,history,ETS,,,,
casiguran aurora,2020,85.93442622950819,WX_rh_avg,history,ETS,,,,
casiguran aurora,2021,84.41917808219178,WX_rh_avg,history,ETS,,,,
casiguran aurora,2022,86.10684931506849,WX_rh_avg,history,ETS,,,,
casiguran aurora,2023,84.52328767123288,WX_rh_avg,history,ETS,,,,
casiguran aurora,2024,84.1523637192443,WX_rh_avg,forecast,ETS,84.15001122659511,84.1547162118935,84.14876146487522,84.15596597361339
casiguran aurora,2025,83.70977502984522,WX_rh_avg,forecast,ETS,83.70742253719602,83.71212752249441,83.70617277547613,83.7133772842143
casiguran aurora,2026,83.26951407955332,WX_rh_avg,forecast,ETS,83.26716158690412,83.27186657220251,83.26591182518423,83.2731163339224
casiguran aurora,2027,82.83156862591967,WX_rh_avg,forecast,ETS,82.82921613327048,82.83392111856887,82.82796637155059,82.83517088028876
casiguran aurora,2028,82.3959264908833,WX_rh_avg,forecast,ETS,82.3935739982341,82.39827898353249,82.39232423651421,82.39952874525238
casiguran aurora,2029,81.96257556043184,WX_rh_avg,forecast,ETS,81.96022306778265,81.96492805308104,81.95897330606276,81.96617781480093
cavite,2018,76.97534246575343,WX_rh_avg,history,ETS,,,,
cavite,2019,74.78356164383561,WX_rh_avg,history,ETS,,,,
cavite,2020,76.85519125683061,WX_rh_avg,history,ETS,,,,
cavite,2021,75.73972602739725,WX_rh_avg,history,ETS,,,,
cavite,2022,76.25549450549451,WX_rh_avg,history,ETS,,,,
cavite,2023,75.09041095890412,WX_rh_avg,history,ETS,,,,
cavite,2024,75.3394697859583,WX_rh_avg,forecast,ETS,75.32441598142769,75.35452359048891,75.3164186477708,75.3625209241458
cavite,2025,75.16722675195268,WX_rh_avg,forecast,ETS,75.15217294742207,75.18228055648329,75.14417561376519,75.19027789014018
cavite,2026,74.9953775044026,WX_rh_avg,forecast,ETS,74.98032369987199,75.0104313089332,74.9723263662151,75.0184286425901
cavite,2027,74.82392114302317,WX_rh_avg,forecast,ETS,74.80886733849256,74.83897494755378,74.80087000483567,74.84697228121067
cavite,2028,74.65285676958808,WX_rh_avg,forecast,ETS,74.63780296505747,74.6679105741187,74.62980563140059,74.67590790777558
cavite,2029,74.48218348792427,WX_rh_avg,forecast,ETS,74.46712968339367,74.49723729245488,74.45913234973678,74.50523462611177
clark pampanga,2018,73.38356164383562,WX_rh_avg,history,ETS,,,,
clark pampanga,2019,74.11780821917809,WX_rh_avg,history,ETS,,,,
clark pampanga,2020,74.01639344262296,WX_rh_avg,history,ETS,,,,
clark pampanga,2021,73.62191780821918,WX_rh_avg,history,ETS,,,,
clark pampanga,2022,70.64383561643835,WX_rh_avg,history,ETS,,,,
clark pampanga,2023,72.40547945205479,WX_rh_avg,history,ETS,,,,
clark pampanga,2024,71.45784333706283,WX_rh_avg,forecast,ETS,71.37346183316009,71.54222484096556,71.32863415921177,71.58705251491388
clark pampanga,2025,71.01728672847067,WX_rh_avg,forecast,ETS,70.93290522456793,71.1016682323734,70.88807755061961,71.14649590632172
clark pampanga,2026,70.57944626853778,WX_rh_avg,forecast,ETS,70.49506476463505,70.66382777244051,70.45023709068673,70.70865544638883
clark pampanga,2027,70.14430521148525,WX_rh_avg,forecast,ETS,70.05992370758251,70.22868671538798,70.0150960336342,70.2735143893363
clark pampanga,2028,69.71184691477653,WX_rh_avg,forecast,ETS,69.6274654108738,69.79622841867926,69.58263773692548,69.84105609262758
clark pampanga,2029,69.28205483848055,WX_rh_avg,forecast,ETS,69.19767333457781,69.36643634238328,69.1528456606295,69.4112640163316
iba zambales,2018,78.57260273972602,WX_rh_avg,history,ETS,,,,
iba zambales,2019,77.6054794520548,WX_rh_avg,history,ETS,,,,
iba zambales,2020,76.23224043715847,WX_rh_avg,history,ETS,,,,
iba zambales,2021,77.25753424657535,WX_rh_avg,history,ETS,,,,
iba zambales,2022,79.14794520547945,WX_rh_avg,history,ETS,,,,
iba zambales,2023,79.21917808219177,WX_rh_avg,history,ETS,,,,
iba zambales,2024,79.34912984060095,WX_rh_avg,forecast,ETS,79.31933810722418,79.37892157397772,79.30351124886776,79.39474843233414
iba zambales,2025,79.47929477201377,WX_rh_avg,forecast,ETS,79.449503038637,79.50908650539054,79.43367618028059,79.52491336374696
iba zambales,2026,79.60967322699527,WX_rh_avg,forecast,ETS,79.5798814936185,79.63946496037204,79.56405463526208,79.65529181872846
iba zambales,2027,79.74026555581104,WX_rh_avg,forecast,ETS,79.71047382243427,79.7700572891878,79.69464696407785,79.78588414754422
iba zambales,2028,79.87107210930145,WX_rh_avg,forecast,ETS,79.84128037592468,79.90086384267822,79.82545351756826,79.91669070103464
iba zambales,2029,80.00209323888234,WX_rh_avg,forecast,ETS,79.97230150550557,80.0318849722591,79.95647464714915,80.04771183061553
infanta quezon,2018,86.67671232876712,WX_rh_avg,history,ETS,,,,
infanta quezon,2019,86.00821917808219,WX_rh_avg,history,ETS,,,,
infanta quezon,2020,87.8360655737705,WX_rh_avg,history,ETS,,,,
infanta quezon,2021,85.57260273972602,WX_rh_avg,history,ETS,,,,
infanta quezon,2022,86.67671232876712,WX_rh_avg,history,ETS,,,,
infanta quezon,2023,84.51780821917808,WX_rh_avg,history,ETS,,,,
infanta quezon,2024,85.10359451587163,WX_rh_avg,forecast,ETS,85.07512184753334,85.13206718420993,85.05999574247862,85.14719328926465
infanta quezon,2025,84.79051530244739,WX_rh_avg,forecast,ETS,84.7620426341091,84.81898797078568,84.74691652905437,84.8341140758404
infanta quezon,2026,84.47858784523778,WX_rh_avg,forecast,ETS,84.45011517689949,84.50706051357608,84.43498907184477,84.5221866186308
