Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi,__source__
alabat quezon,2024,23.309362198700335,WX_heavy_rain_days,forecast,ETS,23.085104741808813,23.533619655591856,22.96596796783519,23.65275642956548,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2025,26.307186516660412,WX_heavy_rain_days,forecast,ETS,26.08292905976889,26.531443973551937,25.963792285795268,26.650580747525556,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2026,29.690561952010302,WX_heavy_rain_days,forecast,ETS,29.466304495118784,29.914819408901828,29.34716772114516,30.03395618287545,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2027,33.50907435380392,WX_heavy_rain_days,forecast,ETS,33.284816896912396,33.73333181069544,33.165680122938774,33.85246858466906,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2028,37.81868682255551,WX_heavy_rain_days,forecast,ETS,37.59442936566399,38.042944279447035,37.47529259169037,38.16208105342066,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2029,42.68255989053222,WX_heavy_rain_days,forecast,ETS,42.4583024336407,42.90681734742374,42.339165659667074,43.02595412139736,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2018,16.0,WX_heavy_rain_days,history,ETS,,,,,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2019,6.0,WX_heavy_rain_days,history,ETS,,,,,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2020,22.0,WX_heavy_rain_days,history,ETS,,,,,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2021,15.0,WX_heavy_rain_days,history,ETS,,,,,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2022,21.0,WX_heavy_rain_days,history,ETS,,,,,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2023,19.0,WX_heavy_rain_days,history,ETS,,,,,weather_heavy_rain_days_city_forecast.csv
alabat quezon,2024,86.17346925517165,WX_rh_avg,forecast,ETS,86.1387642039055,86.20817430643781,86.12032714542035,86.22661136492296,weather_rh_avg_city_forecast.csv
alabat quezon,2025,87.00237584398053,WX_rh_avg,forecast,ETS,86.96767079271437,87.03708089524669,86.94923373422922,87.05551795373184,weather_rh_avg_city_forecast.csv
alabat quezon,2026,87.83925572362833,WX_rh_avg,forecast,ETS,87.80455067236217,87.87396077489448,87.78611361387702,87.89239783337963,weather_rh_avg_city_forecast.csv
alabat quezon,2027,88.68418558956863,WX_rh_avg,forecast,ETS,88.64948053830247,88.71889064083479,88.63104347981732,88.73732769931993,weather_rh_avg_city_forecast.csv
alabat quezon,2028,89.53724287499213,WX_rh_avg,forecast,ETS,89.50253782372597,89.57194792625829,89.48410076524083,89.59038498474344,weather_rh_avg_city_forecast.csv
alabat quezon,2029,90.39850575792296,WX_rh_avg,forecast,ETS,90.3638007066568,90.43321080918912,90.34536364817166,90.45164786767428,weather_rh_avg_city_forecast.csv
alabat quezon,2018,82.55342465753425,WX_rh_avg,history,ETS,,,,,weather_rh_avg_city_forecast.csv
alabat quezon,2019,79.57260273972602,WX_rh_avg,history,ETS,,,,,weather_rh_avg_city_forecast.csv
alabat quezon,2020,83.46448087431693,WX_rh_avg,history,ETS,,,,,weather_rh_avg_city_forecast.csv
alabat quezon,2021,84.72602739726027,WX_rh_avg,history,ETS,,,,,weather_rh_avg_city_forecast.csv
alabat quezon,2022,85.56712328767124,WX_rh_avg,history,ETS,,,,,weather_rh_avg_city_forecast.csv
alabat quezon,2023,84.25753424657535,WX_rh_avg,history,ETS,,,,,weather_rh_avg_city_forecast.csv
alabat quezon,2024,28.13019137417472,WX_tavg_avg,forecast,ETS,28.11680080165149,28.143581946697942,28.10968705999852,28.150695688350915,weather_tavg_avg_city_forecast.csv
alabat quezon,2025,28.230082860918422,WX_tavg_avg,forecast,ETS,28.21669228839519,28.24347343344165,28.209578546742225,28.25058717509462,weather_tavg_avg_city_forecast.csv
alabat quezon,2026,28.33032906651175,WX_tavg_avg,forecast,ETS,28.316938493988523,28.34371963903498,28.309824752335555,28.35083338068795,weather_tavg_avg_city_forecast.csv
alabat quezon,2027,28.430931250576176,WX_tavg_avg,forecast,ETS,28.417540678052948,28.444321823099404,28.41042693639998,28.451435564752373,weather_tavg_avg_city_forecast.csv
alabat quezon,2028,28.53189067720614,WX_tavg_avg,forecast,ETS,28.51850010468291,28.545281249729367,28.511386363029946,28.552394991382336,weather_tavg_avg_city_forecast.csv
alabat quezon,2029,28.63320861498496,WX_tavg_avg,forecast,ETS,28.619818042461738,28.64659918750819,28.612704300808765,28.65371292916116,weather_tavg_avg_city_forecast.csv
alabat quezon,2018,27.53835616438356,WX_tavg_avg,history,ETS,,,,,weather_tavg_avg_city_forecast.csv
alabat quezon,2019,27.625342465753423,WX_tavg_avg,history,ETS,,,,,weather_tavg_avg_city_forecast.csv
alabat quezon,2020,27.59016393442623,WX_tavg_avg,history,ETS,,,,,weather_tavg_avg_city_forecast.csv
alabat quezon,2021,27.58150684931507,WX_tavg_avg,history,ETS,,,,,weather_tavg_avg_city_forecast.csv
alabat quezon,2022,27.76109589041096,WX_tavg_avg,history,ETS,,,,,weather_tavg_avg_city_forecast.csv
alabat quezon,2023,28.03150684931507,WX_tavg_avg,history,ETS,,,,,weather_tavg_avg_city_forecast.csv
alabat quezon,2024,31.101113361896136,WX_tmax_avg,forecast,ETS,31.08429954676092,31.11792717703135,31.075367207470336,31.126859516321936,weather_tmax_avg_city_forecast.csv
alabat quezon,2025,31.079477649859967,WX_tmax_avg,forecast,ETS,31.062663834724752,31.096291464995183,31.053731495434167,31.105223804285767,weather_tmax_avg_city_forecast.csv
alabat quezon,2026,31.05785698886168,WX_tmax_avg,forecast,ETS,31.041043173726464,31.074670803996895,31.03211083443588,31.08360314328748,weather_tmax_avg_city_forecast.csv
alabat quezon,2027,31.036251368430907,WX_tmax_avg,forecast,ETS,31.019437553295692,31.05306518356612,31.010505214005107,31.061997522856707,weather_tmax_avg_city_forecast.csv
alabat quezon,2028,31.014660778104577,WX_tmax_avg,forecast,ETS,30.99784696296936,31.031474593239793,30.988914623678777,31.040406932530377,weather_tmax_avg_city_forecast.csv
alabat quezon,2029,30.993085207426883,WX_tmax_avg,forecast,ETS,30.976271392291668,31.0098990225621,30.967339053001083,31.018831361852683,weather_tmax_avg_city_forecast.csv
alabat quezon,2018,31.0972602739726,WX_tmax_avg,history,ETS,,,,,weather_tmax_avg_city_forecast.csv
alabat quezon,2019,31.5586301369863,WX_tmax_avg,history,ETS,,,,,weather_tmax_avg_city_forecast.csv
alabat quezon,2020,31.16994535519126,WX_tmax_avg,history,ETS,,,,,weather_tmax_avg_city_forecast.csv
alabat quezon,2021,30.89369863013699,WX_tmax_avg,history,ETS,,,,,weather_tmax_avg_city_forecast.csv
alabat quezon,2022,31.02849315068493,WX_tmax_avg,history,ETS,,,,,weather_tmax_avg_city_forecast.csv
alabat quezon,2023,31.318082191780825,WX_tmax_avg,history,ETS,,,,,weather_tmax_avg_city_forecast.csv
alabat quezon,2024,24.85217864242488,WX_tmin_avg,forecast,ETS,24.8432479194929,24.861109365356857,24.838503472935283,24.865853811914473,weather_tmin_avg_city_forecast.csv
alabat quezon,2025,25.042967111347423,WX_tmin_avg,forecast,ETS,25.034036388415448,25.051897834279405,25.02929194185783,25.05664228083702,weather_tmin_avg_city_forecast.csv
alabat quezon,2026,25.235220250245103,WX_tmin_avg,forecast,ETS,25.226289527313124,25.24415097317708,25.221545080755508,25.248895419734698,weather_tmin_avg_city_forecast.csv
alabat quezon,2027,25.42894930328871,WX_tmin_avg,forecast,ETS,25.420018580356732,25.43788002622069,25.415274133799116,25.442624472778306,weather_tmin_avg_city_forecast.csv
alabat quezon,2028,25.624165600969818,WX_tmin_avg,forecast,ETS,25.615234878037835,25.633096323901793,25.61049043148022,25.63784077045941,weather_tmin_avg_city_forecast.csv
