Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
alabat quezon,2018,27.53835616438356,WX_tavg_avg,history,ETS,,,,
alabat quezon,2019,27.625342465753423,WX_tavg_avg,history,ETS,,,,
alabat quezon,2020,27.59016393442623,WX_tavg_avg,history,ETS,,,,
alabat quezon,2021,27.58150684931507,WX_tavg_avg,history,ETS,,,,
alabat quezon,2022,27.76109589041096,WX_tavg_avg,history,ETS,,,,
alabat quezon,2023,28.03150684931507,WX_tavg_avg,history,ETS,,,,
alabat quezon,2024,28.130191374174718,WX_tavg_avg,forecast,ETS,28.11680080165149,28.143581946697946,28.10968705999852,28.150695688350915
alabat quezon,2025,28.230082860918422,WX_tavg_avg,forecast,ETS,28.216692288395194,28.24347343344165,28.209578546742225,28.25058717509462
alabat quezon,2026,28.33032906651175,WX_tavg_avg,forecast,ETS,28.316938493988523,28.34371963903498,28.309824752335555,28.35083338068795
alabat quezon,2027,28.430931250576176,WX_tavg_avg,forecast,ETS,28.417540678052948,28.444321823099404,28.41042693639998,28.451435564752373
alabat quezon,2028,28.53189067720614,WX_tavg_avg,forecast,ETS,28.51850010468291,28.545281249729367,28.511386363029942,28.552394991382336
alabat quezon,2029,28.633208614984962,WX_tavg_avg,forecast,ETS,28.619818042461734,28.64659918750819,28.612704300808765,28.65371292916116
ambulong batangas,2018,27.9072602739726,WX_tavg_avg,history,ETS,,,,
ambulong batangas,2019,28.008082191780822,WX_tavg_avg,history,ETS,,,,
ambulong batangas,2020,28.28366477272728,WX_tavg_avg,history,ETS,,,,
ambulong batangas,2021,27.904931506849312,WX_tavg_avg,history,ETS,,,,
ambulong batangas,2022,27.82684931506849,WX_tavg_avg,history,ETS,,,,
ambulong batangas,2023,27.966712328767123,WX_tavg_avg,history,ETS,,,,
ambulong batangas,2024,27.92016061179041,WX_tavg_avg,forecast,ETS,27.917396341732957,27.922924881847866,27.915927823264933,27.92439340031589
ambulong batangas,2025,27.90236392480198,WX_tavg_avg,forecast,ETS,27.899599654744524,27.905128194859433,27.8981311362765,27.906596713327456
ambulong batangas,2026,27.884578581661902,WX_tavg_avg,forecast,ETS,27.881814311604447,27.887342851719357,27.880345793136424,27.88881137018738
ambulong batangas,2027,27.86680457513945,WX_tavg_avg,forecast,ETS,27.864040305081996,27.869568845196905,27.862571786613973,27.87103736366493
ambulong batangas,2028,27.849041898008508,WX_tavg_avg,forecast,ETS,27.846277627951054,27.851806168065963,27.84480910948303,27.853274686533986
ambulong batangas,2029,27.831290543047558,WX_tavg_avg,forecast,ETS,27.828526272990104,27.834054813105013,27.82705775452208,27.835523331573036
baler aurora,2018,26.94438356164384,WX_tavg_avg,history,ETS,,,,
baler aurora,2019,27.18671232876712,WX_tavg_avg,history,ETS,,,,
baler aurora,2020,26.975546448087428,WX_tavg_avg,history,ETS,,,,
