Region,Region_slug,Province,Area_display,Area_slug,Area_level,Year,Month,Employed,Weight
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,3249.3533
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2340.1864
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2340.1864
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,3249.3533
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2121.709
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2121.709
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1990.7089
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1990.7089
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1990.7089
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2408.3885
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2121.709
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2340.1864
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,3249.3533
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1712.3675
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2014.0319
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1795.0582
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2014.0319
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2057.2458
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2488.8858
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1795.0582
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2144.6603
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1854.4114
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2290.5881
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2057.2458
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2855.3421
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2290.5881
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1599.888
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1599.888
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,3357.9587
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1712.3675
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2014.0319
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2488.8858
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1795.0582
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2488.8858
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2192.6244
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1854.4114
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1712.3675
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1712.3675
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1599.888
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1712.3675
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1712.3675
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1712.3675
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,1712.3675
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2057.2458
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2855.3421
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2057.2458
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2855.3421
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2488.8858
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1795.0582
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2037.4645
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2395.1501
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,0.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2291.5889
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2395.1501
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,0.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2464.9541
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2464.9541
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2464.9541
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1695.9024
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1994.6662
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2464.9541
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1695.9024
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2037.4645
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2827.8869
Region III (Central Luzon),region-iii-central-luzon,Bataan,Orion,orion,city/municipality,2023,12,1.0,1695.9024
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2037.4645
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2827.8869
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,2171.5414
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1836.5805
Region III (Central Luzon),region-iii-central-luzon,Pampanga,San Fernando,san-fernando,city/municipality,2023,12,1.0,2037.4645
Region III (Central Luzon),region-iii-central-luzon,Bataan,Orion,orion,city/municipality,2023,12,1.0,2827.8869
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1836.5805
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,0.0,2291.5889
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2395.1501
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2464.9541
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2464.9541
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1695.9024
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1695.9024
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1994.6662
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2037.4645
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1994.6662
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2395.1501
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2464.9541
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2037.4645
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1994.6662
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2464.9541
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2464.9541
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2171.5414
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1836.5805
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2464.9541
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2171.5414
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2395.1501
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2037.4645
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1994.6662
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1777.798
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2464.9541
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2124.0385
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1836.5805
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1695.9024
Region III (Central Luzon),region-iii-central-luzon,Bataan,Orion,orion,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2124.0385
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2395.1501
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1584.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2268.5632
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1777.798
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,2037.4645
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2096.8081
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2910.2525
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1630.655
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1630.655
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2334.6379
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1829.5785
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2334.6379
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1829.5785
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2234.7902
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,3422.5347
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2052.7633
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1829.5785
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1829.5785
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2234.7902
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1630.655
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,0.0,2334.6379
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1829.5785
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2910.2525
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1745.2976
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2052.7633
Region III (Central Luzon),region-iii-central-luzon,NCR,Quezon City,quezon-city,city/municipality,2023,12,1.0,2096.8081
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1829.5785
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2358.3343
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2052.7633
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2910.2525
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2536.7489
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2464.9117
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2358.3343
Region III (Central Luzon),region-iii-central-luzon,NCR,Pasay City,pasay-city,city/municipality,2023,12,1.0,1630.655
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2334.6379
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2334.6379
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2096.8081
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2910.2525
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1630.655
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2910.2525
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2334.6379
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2096.8081
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2464.9117
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1829.5785
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2358.3343
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,2464.9117
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1630.655
